generation,best_fitness,median_tree_size
0,0.945596,65
1,0.860554,61
2,0.643327,25
3,0.506311,91
4,0.506311,177
5,0.381619,329
6,0.381619,261
7,0.381619,201
8,0.381619,165
9,0.381619,157
10,0.381619,155
11,0.381619,147
12,0.381619,139
13,0.371374,135
14,0.371374,129
15,0.371374,129
16,0.371374,125
17,0.371374,123
18,0.321821,131
19,0.321821,113
20,0.321821,99
21,0.210076,99
22,0.210076,93
23,0.210076,85
24,0.210076,75
25,0.210076,31
26,0.204061,29
27,0.204061,27
28,0.204061,31
29,0.204061,35
30,0.204061,35
31,0.193565,35
32,0.193565,41
33,0.193565,59
34,0.191686,67
35,0.191686,69
36,0.191686,77
37,0.191686,87
38,0.187113,113
39,0.186976,139
40,0.186976,177
41,0.185712,213
42,0.185712,253
43,0.184219,249
44,0.184219,225
45,0.182071,217
46,0.182071,285
47,0.182071,259
48,0.18161,289
49,0.180765,259
50,0.180765,263
51,0.180765,241
52,0.180765,369
53,0.180765,389
54,0.180765,381
55,0.180556,409
56,0.180556,469
57,0.180556,389
