generation,best_fitness,median_tree_size
0,3.551889,65
1,2.644012,61
2,2.644012,15
3,2.644012,7
4,2.644012,7
5,2.644012,9
6,2.59611,9
7,2.59611,11
8,2.59611,13
9,2.59611,13
10,2.59611,15
11,2.407554,19
12,2.407554,23
13,2.407554,29
14,2.407554,33
15,2.359092,39
16,2.359092,43
17,2.359092,51
18,2.359092,63
19,2.359092,69
20,2.359092,81
21,2.359092,79
22,2.359092,91
23,2.359092,89
24,2.306201,87
25,2.306201,105
26,2.306201,109
27,2.306201,111
28,2.306201,135
29,2.306201,233
30,2.306201,217
31,2.306201,211
32,2.306201,139
33,2.306201,115
34,2.306201,153
35,2.305348,137
36,2.305348,167
37,2.305348,197
38,2.305348,205
39,2.305348,155
40,2.305348,125
41,2.305348,175
42,2.30519,171
43,2.30519,169
44,2.284205,203
45,2.284205,227
46,2.203095,173
47,2.187419,139
48,2.187419,145
49,2.187419,199
50,2.187419,305
51,2.142852,183
52,2.142852,185
53,2.141231,223
54,2.133515,231
55,2.121729,223
56,2.115631,229
57,2.115631,285
58,2.115631,279
59,2.115631,399
60,2.115523,293
61,2.102024,289
62,2.102024,309
63,2.102024,727
64,2.102024,751
65,2.102024,741
66,2.102024,797
