generation,best_fitness,median_tree_size
0,0.456824,63
1,0.456824,63
2,0.394274,19
3,0.394274,5
4,0.394274,1
5,0.394274,1
6,0.394274,1
7,0.394274,1
8,0.394274,1
9,0.394274,1
10,0.394274,1
11,0.394274,1
12,0.394274,1
13,0.394274,1
14,0.394274,1
15,0.394274,1
16,0.394274,1
17,0.394274,1
18,0.394274,1
19,0.394274,1
20,0.394274,1
21,0.394274,1
22,0.394274,1
23,0.394274,1
24,0.394274,1
25,0.394274,1
26,0.394274,1
27,0.394274,1
28,0.394274,1
29,0.394274,1
30,0.394274,1
31,0.394274,1
32,0.394274,1
33,0.394274,1
34,0.394274,1
35,0.394274,1
36,0.394274,1
37,0.394274,1
38,0.394274,1
39,0.394274,1
40,0.394274,1
41,0.394274,1
42,0.394274,1
43,0.394274,1
44,0.394274,1
45,0.394274,1
46,0.394274,1
47,0.394274,1
48,0.394274,1
49,0.394274,1
50,0.394274,1
51,0.394274,1
52,0.394274,1
53,0.394274,3
54,0.351212,7
55,0.342933,1
56,0.342933,9
57,0.342933,1
58,0.342933,1
59,0.342933,7
60,0.261628,11
61,0.24236,7
62,0.224871,11
63,0.224871,13
64,0.212325,19
65,0.210102,21
66,0.210037,19
67,0.210037,21
68,0.210037,21
69,0.210037,29
70,0.210037,27
71,0.20998,37
72,0.2099,37
73,0.208935,43
74,0.20886,65
75,0.20886,73
76,0.20886,73
77,0.208356,73
78,0.207198,59
79,0.207198,79
80,0.207084,85
81,0.207082,129
82,0.2052,155
83,0.2052,175
84,0.2052,271
85,0.205127,331
86,0.204906,307
87,0.204906,195
88,0.20101,79
89,0.20101,73
90,0.20101,119
91,0.20101,279
92,0.20101,315
93,0.20101,201
94,0.20101,321
95,0.20101,251
96,0.20101,125
97,0.20101,251
98,0.199347,367
99,0.199347,317
100,0.199347,287
101,0.17251,285
102,0.17251,161
103,0.172012,163
104,0.172012,175
105,0.1719,133
106,0.1719,83
107,0.1719,83
108,0.1719,87
109,0.1719,97
110,0.1719,97
111,0.169546,101
112,0.169546,99
113,0.149946,101
114,0.149946,99
115,0.149946,111
116,0.149946,137
117,0.149946,173
118,0.149946,177
119,0.149946,177
120,0.149946,175
121,0.149946,173
122,0.148714,177
123,0.140609,173
124,0.140609,173
125,0.136594,179
126,0.136594,225
127,0.136594,269
128,0.136594,265
129,0.136103,283
130,0.133958,347
131,0.133958,315
132,0.133788,349
133,0.133788,329
134,0.133788,345
135,0.133788,319
136,0.133788,249
137,0.133788,247
138,0.129752,215
139,0.129752,247
140,0.129752,263
141,0.129662,257
142,0.119478,379
143,0.119478,413
144,0.119478,423
145,0.119478,447
146,0.11877,449
147,0.11877,461
148,0.11839,657
149,0.11839,819
150,0.11839,817
151,0.112656,489
152,0.112656,487
153,0.112656,487
154,0.112656,523
155,0.112656,613
156,0.112578,695
157,0.110454,1187
158,0.110454,1517
159,0.11007,1631
160,0.11007,1185
161,0.106712,1185
162,0.106712,1195
163,0.106712,1379
164,0.106712,1293
165,0.106711,1293
166,0.102981,1339
167,0.102981,1703
168,0.102981,1595
169,0.102981,1115
170,0.102981,1111
171,0.102981,1103
172,0.102981,1061
173,0.102981,1083
174,0.102981,1091
175,0.102981,1185
176,0.102981,1069
177,0.102981,1061
