generation,best_fitness,median_tree_size
0,0.09318,20
1,0.09318,12
2,0.061207,10
3,0.061207,10
4,0.061207,12
5,0.058715,19
6,0.058715,24
7,0.058715,22
8,0.058715,25
9,0.058715,25
10,0.058508,27
11,0.058508,30
12,0.048039,40
13,0.048039,60
14,0.048039,68
15,0.048039,71
16,0.048039,75
17,0.048039,86
18,0.048039,88
19,0.048039,91
20,0.048039,91
21,0.048039,109
22,0.048039,117
23,0.02531,125
24,0.02531,125
25,0.02531,124
26,0.02531,147
27,0.02531,172
28,0.011381,176
29,0.011381,182
30,0.011381,194
31,0.011381,203
32,0.011381,216
33,0.009799,148
34,0.009799,116
35,0.009799,43
36,0.009799,38
37,0.006906,35
38,0.006906,44
39,0.006906,61
40,0.006906,75
41,0.000803,83
42,0.000803,87
43,0.000485,89
44,0.000485,87
45,0.000409,83
46,0.000385,81
47,0.000385,74
48,0.000385,120
49,0.000385,123
50,0.000385,126
51,0.000385,105
52,0.000385,117
53,0.000384,112
54,0.000373,108
55,0.000323,139
56,0.000321,160
57,0.000321,231
58,0.000321,297
59,0.000313,349
60,0.000306,360
61,0.000306,373
62,0.000274,410
63,0.000274,636
64,0.000269,509
65,0.000269,535
66,0.000269,578
67,0.000268,560
68,0.000261,539
69,0.000261,484
70,0.000261,530
71,0.000261,511
72,0.000261,607
73,0.000261,647
74,0.000261,795
