generation,best_fitness,median_tree_size
0,1.287676,63
1,0.380455,49
2,0.380455,17
3,0.318326,3
4,0.281009,1
5,0.281009,1
6,0.275303,1
7,0.273324,9
8,0.273324,11
9,0.272938,1
10,0.272938,15
11,0.272938,1
12,0.272027,19
13,0.271865,27
14,0.270054,27
15,0.269655,25
16,0.269655,25
17,0.263723,27
18,0.263723,29
19,0.18878,29
20,0.18878,33
21,0.185107,35
22,0.185107,39
23,0.163933,41
24,0.131333,41
25,0.131333,39
26,0.131333,35
27,0.130841,37
28,0.120724,53
29,0.117714,55
30,0.117675,61
31,0.117675,61
32,0.117675,61
33,0.117675,61
34,0.115085,63
35,0.115085,61
36,0.115085,67
37,0.114957,65
38,0.114957,65
39,0.114957,67
40,0.114957,73
41,0.114854,63
42,0.114196,63
43,0.114196,61
44,0.113405,77
45,0.113405,77
46,0.113405,71
47,0.113316,63
48,0.113316,61
49,0.112801,61
50,0.112801,61
51,0.112801,61
52,0.112801,61
53,0.112788,61
54,0.112571,55
55,0.112571,55
56,0.112568,67
57,0.112568,83
58,0.112568,77
59,0.112568,95
60,0.112568,129
61,0.112563,129
62,0.112563,127
63,0.112563,221
64,0.111771,197
65,0.111771,241
66,0.110885,239
67,0.110885,241
68,0.110876,253
69,0.110876,81
70,0.110864,63
71,0.110864,43
72,0.110864,41
73,0.110864,39
74,0.110864,39
75,0.110864,39
76,0.110864,39
77,0.110864,39
78,0.106642,39
79,0.106642,39
80,0.106642,41
81,0.106642,41
82,0.106642,49
83,0.106642,49
84,0.106642,49
85,0.104165,49
86,0.104165,49
87,0.104165,49
88,0.104165,81
89,0.104165,49
90,0.104165,61
91,0.104165,57
92,0.104165,59
93,0.103464,63
94,0.103464,67
95,0.103464,69
96,0.103464,83
97,0.103464,87
98,0.103464,91
99,0.103268,95
100,0.103268,109
101,0.103268,107
102,0.103268,107
103,0.103268,117
104,0.103242,123
105,0.103242,129
106,0.103242,139
107,0.103242,137
108,0.103242,125
109,0.103242,123
110,0.103242,125
111,0.103242,125
112,0.103242,121
113,0.103242,149
114,0.103242,177
115,0.103242,171
116,0.103242,137
117,0.103242,93
118,0.103242,139
119,0.103235,237
120,0.103235,235
121,0.103235,223
122,0.103235,199
123,0.103235,193
124,0.103235,179
125,0.103235,159
126,0.10039,141
127,0.10039,151
128,0.100326,145
129,0.100326,143
130,0.100326,155
131,0.100326,219
132,0.100326,161
133,0.100326,297
134,0.100326,331
135,0.100326,343
136,0.100326,335
137,0.100326,323
138,0.100326,309
139,0.100326,263
140,0.100326,219
141,0.100326,243
142,0.100326,307
143,0.100326,393
144,0.100326,349
145,0.100326,293
146,0.100326,319
147,0.100326,329
148,0.100326,409
149,0.100326,441
150,0.100326,327
151,0.100326,299
152,0.100326,299
153,0.100326,301
154,0.100326,321
155,0.100326,361
156,0.100326,371
157,0.100326,365
158,0.100326,431
159,0.100326,477
160,0.100326,483
161,0.100326,499
162,0.100326,437
163,0.100326,403
164,0.100326,433
165,0.100326,453
166,0.100326,453
167,0.100326,453
168,0.100326,455
169,0.100243,455
170,0.100243,455
171,0.100243,467
172,0.100243,447
173,0.100243,439
174,0.100243,437
175,0.100243,473
176,0.100243,483
177,0.100243,457
178,0.099496,455
179,0.099496,457
180,0.099496,545
181,0.099496,1223
182,0.099496,687
183,0.099496,473
184,0.099494,809
185,0.099463,1347
