generation,best_fitness,median_tree_size
0,0.582342,63
1,0.396374,57
2,0.396374,29
3,0.053464,17
4,0.053464,15
5,0.053464,9
6,0.053464,1
7,0.053464,1
8,0.031296,9
9,0.031296,15
10,0.031296,33
11,0.01762,35
12,0.017162,33
13,0.017162,35
14,0.01679,37
15,0.01679,39
16,0.01679,39
17,0.007813,41
18,0.007813,45
19,0.007742,47
20,0.005384,51
21,0.004889,75
22,0.004865,87
23,0.004759,93
24,0.004759,95
25,0.004303,95
26,0.004191,97
27,0.004191,101
28,0.004165,109
29,0.004165,109
30,0.004165,117
31,0.004165,127
32,0.004156,125
33,0.003673,131
34,0.003673,133
35,0.003524,127
36,0.003517,141
37,0.003517,199
38,0.003295,177
39,0.003246,125
40,0.003246,113
41,0.003246,119
42,0.00309,155
43,0.003067,269
44,0.003067,297
45,0.003067,311
46,0.003067,291
47,0.003067,319
48,0.003067,295
49,0.002996,333
50,0.002996,343
51,0.002996,345
52,0.002996,299
53,0.002982,307
54,0.002982,301
55,0.002982,305
56,0.002914,297
