generation,best_fitness,median_tree_size
0,0.73543,14
1,0.73543,8
2,0.73543,7
3,0.73543,8
4,0.627144,9
5,0.627144,14
6,0.605105,17
7,0.549374,18
8,0.549374,18
9,0.405029,20
10,0.405029,24
11,0.405029,27
12,0.404547,33
13,0.404547,31
14,0.183152,34
15,0.183152,34
16,0.183152,33
17,0.183152,31
18,0.183152,30
19,0.164771,29
20,0.088043,28
21,0.088043,31
22,0.088043,36
23,0.088043,39
24,0.088043,37
25,0.088043,36
26,0.086525,34
27,0.062975,34
28,0.062975,36
29,0.062975,47
30,0.062975,61
31,0.058265,67
32,0.058265,76
33,0.054273,79
34,0.045699,77
35,0.045699,76
36,0.045699,91
37,0.044216,100
38,0.041488,114
39,0.041488,124
40,0.041453,157
41,0.040964,200
42,0.040964,213
43,0.040964,223
44,0.040964,226
45,0.037916,244
46,0.037916,246
47,0.037916,275
48,0.035333,271
49,0.035333,278
50,0.034529,258
51,0.034529,277
52,0.034529,316
53,0.034529,316
54,0.034529,323
55,0.034529,287
56,0.033556,323
57,0.033556,252
58,0.033047,220
59,0.033047,211
60,0.032875,220
61,0.03239,238
62,0.03239,234
63,0.03239,240
64,0.03239,289
65,0.03239,283
66,0.032355,288
67,0.032355,309
68,0.03189,317
69,0.03184,352
70,0.031827,361
71,0.031808,351
72,0.031808,335
73,0.031808,308
74,0.031808,294
75,0.031808,301
76,0.031775,329
77,0.031742,330
78,0.031742,341
79,0.031742,346
80,0.031742,353
81,0.031742,351
82,0.031742,349
83,0.031742,344
84,0.031742,343
85,0.031702,352
86,0.031701,415
87,0.031701,384
88,0.031698,558
89,0.031696,687
90,0.031694,506
91,0.031694,509
92,0.031694,683
93,0.031692,621
94,0.031692,581
95,0.031692,554
96,0.031692,544
97,0.031692,508
98,0.031685,528
99,0.031685,600
100,0.031685,797
101,0.031684,816
102,0.031684,865
103,0.031677,869
104,0.031677,867
105,0.031677,875
106,0.031675,893
107,0.031675,1151
108,0.031675,1171
109,0.031675,1171
110,0.031675,1175
111,0.031675,1301
112,0.031675,1651
113,0.031675,1614
114,0.031675,1637
115,0.031675,1629
116,0.031668,1568
117,0.031668,1564
118,0.031668,1497
119,0.031668,1565
