generation,best_fitness,median_tree_size
0,0.855784,63
1,0.855784,39
2,0.855784,17
3,0.758502,17
4,0.758502,215
5,0.758502,215
6,0.758502,207
7,0.707403,205
8,0.678229,213
9,0.678197,73
10,0.671516,105
11,0.671516,163
12,0.543955,171
13,0.543955,173
14,0.468407,207
15,0.468407,191
16,0.447993,207
17,0.447993,191
18,0.399861,73
19,0.393671,249
20,0.393671,237
21,0.393671,117
22,0.375376,121
23,0.375376,177
24,0.374253,147
25,0.363735,179
26,0.363735,185
27,0.363735,185
28,0.363735,143
29,0.363323,137
30,0.363323,97
31,0.178719,103
32,0.174702,119
33,0.170308,121
34,0.166651,91
35,0.165488,89
36,0.165488,91
37,0.164015,91
38,0.156597,115
39,0.156037,161
40,0.156037,135
41,0.156037,133
42,0.153593,133
43,0.14812,135
44,0.145124,143
45,0.145124,215
46,0.136778,207
47,0.136778,217
48,0.129951,191
49,0.129951,193
50,0.129951,195
51,0.129951,185
52,0.129951,179
53,0.128508,173
54,0.112187,161
55,0.112187,161
56,0.112187,197
57,0.112173,295
58,0.112173,403
59,0.112173,397
60,0.112173,405
61,0.112173,419
62,0.11172,525
63,0.11172,539
64,0.108167,553
65,0.108167,565
66,0.107986,531
67,0.107985,525
68,0.107787,499
69,0.107787,593
70,0.107504,985
71,0.107504,985
72,0.105461,979
73,0.105461,635
74,0.105461,731
75,0.105461,723
76,0.105461,653
77,0.105351,607
78,0.105336,615
79,0.104937,531
80,0.103418,509
81,0.103417,505
82,0.103381,505
83,0.102989,505
84,0.102989,459
85,0.102989,457
86,0.102989,465
87,0.10242,461
88,0.10242,461
89,0.09903,455
90,0.099019,459
91,0.099019,461
92,0.099019,459
93,0.099019,459
94,0.098232,461
95,0.098232,459
96,0.098232,457
97,0.098231,487
98,0.098191,707
99,0.098182,719
