generation,best_fitness,median_tree_size
0,1.00538,63
1,1.002635,43
2,0.924647,25
3,0.924647,33
4,0.90853,43
5,0.854704,49
6,0.661219,47
7,0.661219,45
8,0.536875,43
9,0.536875,61
10,0.530895,69
11,0.493612,75
12,0.374631,91
13,0.372564,95
14,0.372564,95
15,0.359379,101
16,0.358942,111
17,0.349353,117
18,0.349353,113
19,0.349353,113
20,0.345919,165
21,0.336065,175
22,0.313708,175
23,0.313708,179
24,0.313708,175
25,0.313708,177
26,0.313708,173
27,0.313708,171
28,0.313708,199
29,0.295619,197
30,0.295619,171
31,0.295619,225
32,0.293384,249
33,0.292984,163
34,0.292891,125
35,0.292891,131
36,0.292761,131
37,0.291558,131
38,0.291558,151
39,0.291558,125
40,0.290067,151
41,0.290067,117
42,0.290067,115
43,0.290067,111
44,0.289208,113
45,0.288719,111
46,0.288719,111
47,0.281317,113
48,0.281317,125
49,0.281317,163
50,0.281317,203
51,0.281317,225
52,0.281317,227
53,0.281317,219
54,0.281317,213
55,0.281317,247
56,0.269454,255
57,0.269454,247
58,0.269179,209
59,0.269179,249
60,0.269179,251
61,0.269109,253
62,0.268909,251
63,0.268724,253
64,0.2675,253
65,0.2675,259
66,0.2675,289
67,0.2675,391
68,0.2675,285
69,0.2675,289
70,0.2675,319
71,0.26704,307
72,0.26704,283
73,0.26704,363
74,0.26704,283
75,0.26704,325
76,0.26704,407
77,0.26704,487
78,0.266866,441
79,0.266866,479
80,0.266866,433
81,0.266866,451
82,0.266344,443
83,0.266021,461
84,0.266,457
85,0.265455,461
86,0.265455,463
87,0.265455,469
88,0.265455,467
89,0.265336,493
90,0.265336,497
91,0.265336,497
92,0.265336,499
93,0.265336,503
94,0.265336,515
95,0.265336,519
96,0.265336,517
97,0.265336,527
98,0.265336,527
99,0.265336,555
