generation,best_fitness,median_tree_size
0,5.635875,22
1,5.635875,17
2,1.520633,12
3,1.520633,11
4,1.520633,13
5,0.97374,22
6,0.97374,25
7,0.473358,28
8,0.473358,26
9,0.473358,21
10,0.473358,19
11,0.473358,20
12,0.473358,21
13,0.473358,21
14,0.473358,21
15,0.473358,21
16,0.473358,20
17,0.473358,21
18,0.473358,21
19,0.451619,22
20,0.451619,23
21,0.451619,24
22,0.451619,25
23,0.451619,25
24,0.451619,24
25,0.451619,25
26,0.451619,24
27,0.451619,25
28,0.43157,25
29,0.43157,27
30,0.411623,37
31,0.406043,43
32,0.403779,45
33,0.399092,56
34,0.399092,67
35,0.399092,72
36,0.387224,79
37,0.387224,87
38,0.385697,111
39,0.385697,128
40,0.385697,119
41,0.37134,135
42,0.37134,147
43,0.359106,140
44,0.359106,174
45,0.359106,191
46,0.359106,182
47,0.359106,261
48,0.359106,229
49,0.335688,302
50,0.335688,348
51,0.335688,356
52,0.333149,379
53,0.333149,424
54,0.328678,430
55,0.328678,429
56,0.328678,426
57,0.328678,415
58,0.304846,595
59,0.303723,394
60,0.297871,395
61,0.294939,408
62,0.288217,411
63,0.218702,400
64,0.218268,407
65,0.202668,398
66,0.168921,373
67,0.168921,371
68,0.130238,374
69,0.130238,407
70,0.12855,712
71,0.125597,1135
72,0.125597,1149
73,0.124432,1153
74,0.124432,1164
75,0.12185,1162
76,0.12185,1107
77,0.12185,1011
78,0.120151,1105
79,0.113565,1158
80,0.113565,1168
81,0.113565,1172
82,0.113066,1177
83,0.113066,1143
84,0.108695,1114
85,0.108695,1168
86,0.108695,1157
87,0.108695,1111
88,0.108583,910
89,0.108583,912
90,0.108583,981
91,0.108583,917
92,0.107892,924
93,0.102539,915
94,0.102539,912
95,0.102539,921
96,0.102539,913
97,0.102539,920
98,0.102539,925
99,0.102539,919
