generation,best_fitness,median_tree_size
0,0.734039,14
1,0.734039,7
2,0.734039,7
3,0.734039,7
4,0.734039,9
5,0.317486,11
6,0.037433,14
7,0.037433,16
8,0.037433,18
9,0.037433,21
10,0.037433,24
11,0.037433,30
12,0.037433,34
13,0.037433,34
14,0.037433,36
15,0.037433,37
16,0.037433,43
17,0.037433,46
18,0.037433,51
19,0.037433,54
20,0.037433,62
21,0.037433,70
22,0.037433,79
23,0.037433,81
24,0.037433,95
25,0.030607,100
26,0.007101,107
27,0.007101,114
28,0.007101,116
29,0.007101,118
30,0.007101,133
31,0.007101,130
32,0.007101,131
33,0.006053,140
34,0.006053,142
35,0.003664,134
36,0.003664,95
37,0.003664,89
38,0.003664,91
39,0.003664,90
40,0.003664,92
41,0.003664,84
42,0.003664,82
43,0.003664,84
44,0.003664,84
45,0.003568,87
46,0.0035,114
47,0.0035,117
48,0.0035,132
49,0.002519,128
50,0.002519,139
51,0.002511,138
52,0.002343,145
53,0.002333,167
54,0.001415,164
55,0.001246,139
56,0.001246,143
57,0.001246,131
58,0.001246,140
59,0.001232,140
60,0.001232,178
61,0.00109,168
62,0.00109,160
63,0.001077,147
64,0.001076,148
65,0.001057,206
66,0.001051,224
67,0.001051,222
68,0.001037,209
69,0.001037,254
70,0.001037,269
71,0.001019,341
