generation,best_fitness
0,0.12813345650132704
1,0.12813345650132704
2,0.12813345650132704
3,0.12813345650132704
4,0.11337751991529715
5,0.08909719443078985
6,0.08909719443078985
7,0.08909719443078985
8,0.0830969258075448
9,0.0830969258075448
10,0.0830969258075448
11,0.0830969258075448
12,0.059514714836437006
13,0.059514714836437006
14,0.059514714836437006
15,0.059514714836437006
16,0.059514714836437006
17,0.059514714836437006
18,0.059514714836437006
19,0.059514714836437006
20,0.059514714836437006
21,0.059514714836437006
22,0.059514714836437006
23,0.059514714836437006
24,0.059514714836437006
25,0.059514714836437006
26,0.059514714836437006
27,0.059514714836437006
28,0.059514714836437006
29,0.059514714836437006
30,0.059514714836437006
31,0.059514714836437006
32,0.059514714836437006
33,0.059514714836437006
34,0.059514714836437006
35,0.059514714836437006
36,0.059514714836437006
37,0.059514714836437006
38,0.059514714836437006
39,0.059514714836437006
40,0.059514714836437006
41,0.04996933123740982
42,0.04996933123740982
43,0.04996933123740982
44,0.04996933123740982
45,0.04996933123740982
46,0.04996933123740982
47,0.04996933123740982
48,0.04996933123740982
49,0.04996933123740982
50,0.04996933123740982
51,0.04996933123740982
52,0.04996933123740982
53,0.04996933123740982
54,0.04996933123740982
55,0.04996933123740982
56,0.04996933123740982
57,0.04996933123740982
58,0.04996933123740982
59,0.04996933123740982
60,0.04996933123740982
61,0.04996933123740982
62,0.04996933123740982
63,0.04996933123740982
64,0.04996933123740982
65,0.04996933123740982
66,0.04996933123740982
67,0.04996933123740982
68,0.04996933123740982
69,0.04996933123740982
70,0.04996933123740982
71,0.04996933123740982
72,0.04996933123740982
73,0.04996933123740982
74,0.04996933123740982
75,0.04996933123740982
76,0.04996933123740982
77,0.04996933123740982
78,0.04996933123740982
79,0.04996933123740982
80,0.04996933123740982
81,0.04996933123740982
82,0.04996933123740982
83,0.04996933123740982
84,0.04996933123740982
85,0.04996933123740982
86,0.04996933123740982
87,0.04996933123740982
88,0.04996933123740982
89,0.04996933123740982
90,0.04996933123740982
91,0.04996933123740982
