test_id,generations_config,pop_size,algorithm,generation,median_fitness,q1_fitness,q3_fitness,n_runs
1.1,200,100,std_std,0,0.0,0.0,0.0,30
1.1,200,100,std_std,1,0.0,0.0,0.0,30
1.1,200,100,std_std,2,0.0,0.0,0.0,30
1.1,200,100,eml_std,0,0.244941,0.0,3.4001455000000003,30
1.1,200,100,eml_std,1,0.0,0.0,0.0,30
1.1,200,100,eml_std,2,0.0,0.0,0.0,30
1.1,200,100,eml_std,3,0.0,0.0,0.0,30
1.1,200,100,eml_mut,0,0.244941,0.0,3.4001455000000003,30
1.1,200,100,eml_mut,1,0.0,0.0,1.564162,30
1.1,200,100,eml_mut,2,0.0,0.0,1.06909075,30
1.1,200,100,eml_mut,3,0.0,0.0,0.9390575,30
1.1,200,100,eml_mut,4,0.0,0.0,0.8724704999999999,30
1.1,200,100,eml_mut,5,0.0,0.0,0.871331,30
1.1,200,100,eml_mut,6,0.0,0.0,0.34698225,30
1.1,200,100,eml_mut,7,0.0,0.0,0.34698225,30
1.1,200,100,eml_mut,8,0.0,0.0,0.18992874999999998,30
1.1,200,100,eml_mut,9,0.0,0.0,0.1068615,30
1.1,200,100,eml_mut,10,0.0,0.0,0.0,30
1.1,200,100,eml_mut,11,0.0,0.0,0.0,30
1.1,200,100,eml_mut,12,0.0,0.0,0.0,30
1.1,200,100,eml_mut,13,0.0,0.0,0.0,30
1.1,200,100,eml_mut,14,0.0,0.0,0.0,30
1.1,200,100,eml_mut,15,0.0,0.0,0.0,30
1.1,200,100,eml_mut,16,0.0,0.0,0.0,30
1.1,200,100,eml_mut,17,0.0,0.0,0.0,30
1.1,200,100,eml_mut,18,0.0,0.0,0.0,30
1.1,200,100,eml_mut,19,0.0,0.0,0.0,30
1.1,200,100,eml_mut,20,0.0,0.0,0.0,30
1.1,200,100,eml_mut,21,0.0,0.0,0.0,30
1.1,200,100,eml_mut,22,0.0,0.0,0.0,30
1.1,200,100,eml_mut,23,0.0,0.0,0.0,30
1.1,200,100,eml_mut,24,0.0,0.0,0.0,30
1.1,200,100,eml_mut,25,0.0,0.0,0.0,30
1.1,200,100,eml_mut,26,0.0,0.0,0.0,30
1.1,200,100,eml_mut,27,0.0,0.0,0.0,30
1.1,200,100,eml_mut,28,0.0,0.0,0.0,30
1.1,200,100,eml_mut,29,0.0,0.0,0.0,30
1.1,200,100,eml_mut,30,0.0,0.0,0.0,30
1.1,200,100,eml_mut,31,0.0,0.0,0.0,30
1.1,200,100,eml_mut,32,0.0,0.0,0.0,30
1.1,200,100,eml_mut,33,0.0,0.0,0.0,30
1.1,200,100,eml_mut,34,0.0,0.0,0.0,30
1.1,200,100,eml_mut,35,0.0,0.0,0.0,30
1.1,200,100,eml_mut,36,0.0,0.0,0.0,30
1.1,200,100,eml_mut,37,0.0,0.0,0.0,30
1.1,200,100,eml_mut,38,0.0,0.0,0.0,30
1.1,200,100,eml_mut,39,0.0,0.0,0.0,30
1.1,200,100,eml_mut,40,0.0,0.0,0.0,30
1.1,200,100,eml_mut,41,0.0,0.0,0.0,30
1.1,200,100,eml_mut,42,0.0,0.0,0.0,30
1.1,200,100,eml_mut,43,0.0,0.0,0.0,30
1.1,200,100,eml_mut,44,0.0,0.0,0.0,30
1.1,200,100,eml_mut,45,0.0,0.0,0.0,30
1.1,200,100,eml_mut,46,0.0,0.0,0.0,30
1.1,200,100,eml_mut,47,0.0,0.0,0.0,30
1.1,200,100,eml_mut,48,0.0,0.0,0.0,30
1.1,200,100,eml_mut,49,0.0,0.0,0.0,30
1.1,200,100,eml_mut,50,0.0,0.0,0.0,30
1.1,200,100,eml_mut,51,0.0,0.0,0.0,30
1.1,200,100,eml_mut,52,0.0,0.0,0.0,30
1.1,200,100,eml_mut,53,0.0,0.0,0.0,30
1.1,200,100,eml_mut,54,0.0,0.0,0.0,30
1.1,200,100,eml_mut,55,0.0,0.0,0.0,30
1.1,200,100,eml_mut,56,0.0,0.0,0.0,30
1.1,200,100,eml_mut,57,0.0,0.0,0.0,30
1.1,200,100,eml_mut,58,0.0,0.0,0.0,30
1.1,200,100,eml_mut,59,0.0,0.0,0.0,30
1.1,200,100,eml_mut,60,0.0,0.0,0.0,30
1.1,200,100,eml_mut,61,0.0,0.0,0.0,30
1.1,200,100,eml_mut,62,0.0,0.0,0.0,30
1.1,200,100,eml_mut,63,0.0,0.0,0.0,30
1.1,200,100,eml_mut,64,0.0,0.0,0.0,30
1.1,200,100,eml_mut,65,0.0,0.0,0.0,30
1.1,200,100,eml_mut,66,0.0,0.0,0.0,30
1.1,200,100,eml_mut,67,0.0,0.0,0.0,30
1.1,200,100,std_ssc,0,0.0,0.0,0.0,30
1.1,200,100,std_ssc,1,0.0,0.0,0.0,30
1.1,200,100,std_ssc,2,0.0,0.0,0.0,30
1.1,200,100,std_ssc,3,0.0,0.0,0.0,30
1.1,200,100,std_ssc,4,0.0,0.0,0.0,30
1.1,200,100,std_ssc,5,0.0,0.0,0.0,30
1.1,200,100,std_ssc,6,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,0,0.244940767458803,0.0,3.4001455803516953,30
1.1,200,100,eml_ssc,1,0.0,0.0,2.459648644092944,30
1.1,200,100,eml_ssc,2,0.0,0.0,1.0,30
1.1,200,100,eml_ssc,3,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,4,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,5,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,6,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,7,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,8,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,9,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,10,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,11,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,12,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,13,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,14,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,15,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,16,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,17,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,18,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,19,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,20,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,21,0.0,0.0,0.0,30
