generation,best_fitness,median_tree_size
0,0.674316,67
1,0.001228,75
2,0.001228,69
3,0.001228,73
4,0.000588,91
5,0.000588,101
6,0.000403,101
7,0.000403,51
8,0.000176,41
9,2.6e-05,37
10,2.6e-05,37
11,2.6e-05,37
12,2.6e-05,35
13,2.6e-05,37
14,2.6e-05,39
15,2.6e-05,43
16,2.6e-05,43
17,2.6e-05,39
18,9e-06,41
19,9e-06,39
20,9e-06,37
21,9e-06,39
22,9e-06,39
23,9e-06,45
24,9e-06,41
25,9e-06,39
26,9e-06,37
27,9e-06,33
28,9e-06,33
29,9e-06,33
30,9e-06,33
31,9e-06,31
32,9e-06,33
33,9e-06,33
34,9e-06,33
35,9e-06,31
36,9e-06,31
37,9e-06,31
38,9e-06,31
39,9e-06,31
40,9e-06,31
41,9e-06,31
42,6e-06,31
43,6e-06,31
44,6e-06,31
45,6e-06,31
46,6e-06,31
47,6e-06,31
48,6e-06,31
49,6e-06,31
50,6e-06,31
51,6e-06,31
52,6e-06,31
53,6e-06,31
54,6e-06,31
55,6e-06,33
56,6e-06,33
57,6e-06,33
58,6e-06,33
59,6e-06,35
60,6e-06,35
61,6e-06,35
62,6e-06,31
63,6e-06,31
64,6e-06,35
65,6e-06,35
66,6e-06,35
67,6e-06,33
68,6e-06,35
69,6e-06,33
70,6e-06,33
71,6e-06,33
72,6e-06,33
73,6e-06,31
74,6e-06,31
75,6e-06,35
76,6e-06,37
77,6e-06,37
78,6e-06,37
79,6e-06,37
80,6e-06,37
81,6e-06,37
82,6e-06,37
83,6e-06,37
84,6e-06,37
85,6e-06,33
86,6e-06,35
87,6e-06,35
88,6e-06,35
89,6e-06,33
90,6e-06,31
91,6e-06,31
92,6e-06,31
93,6e-06,31
94,6e-06,31
95,6e-06,29
96,6e-06,33
97,6e-06,33
98,6e-06,35
99,6e-06,33
100,6e-06,33
101,6e-06,31
102,6e-06,33
103,6e-06,31
104,6e-06,33
105,6e-06,33
106,6e-06,33
107,6e-06,31
108,6e-06,31
109,6e-06,33
110,6e-06,31
111,6e-06,31
112,6e-06,31
113,6e-06,33
114,6e-06,33
115,6e-06,33
116,6e-06,33
117,6e-06,33
118,6e-06,33
119,6e-06,31
120,6e-06,31
121,6e-06,31
122,6e-06,29
123,6e-06,33
124,6e-06,33
125,6e-06,33
126,6e-06,31
127,6e-06,31
128,6e-06,31
129,6e-06,35
130,6e-06,33
131,6e-06,33
132,6e-06,33
133,6e-06,33
134,6e-06,31
135,6e-06,33
136,6e-06,35
137,6e-06,35
138,6e-06,35
139,6e-06,35
140,6e-06,33
141,6e-06,33
142,6e-06,33
143,6e-06,31
144,6e-06,31
145,6e-06,31
146,6e-06,31
147,6e-06,31
148,6e-06,35
149,6e-06,33
150,6e-06,33
151,6e-06,31
152,6e-06,31
153,6e-06,31
154,6e-06,31
155,6e-06,31
156,6e-06,31
157,6e-06,31
158,6e-06,35
159,6e-06,35
160,6e-06,35
161,6e-06,33
162,6e-06,35
163,6e-06,33
164,6e-06,35
165,6e-06,33
166,6e-06,31
167,6e-06,33
168,6e-06,33
169,6e-06,31
170,6e-06,31
171,6e-06,31
172,6e-06,31
173,6e-06,31
174,6e-06,31
175,6e-06,33
176,6e-06,35
177,6e-06,33
178,6e-06,33
179,6e-06,33
180,6e-06,33
181,6e-06,31
182,6e-06,31
183,6e-06,31
184,6e-06,31
185,6e-06,35
186,6e-06,33
187,6e-06,33
188,6e-06,33
189,6e-06,33
190,6e-06,33
191,6e-06,33
192,6e-06,33
193,6e-06,31
194,6e-06,31
195,6e-06,31
196,6e-06,31
197,6e-06,31
198,6e-06,31
199,6e-06,31
200,6e-06,31
201,6e-06,31
202,6e-06,31
203,6e-06,35
204,6e-06,35
205,6e-06,33
206,6e-06,35
207,6e-06,33
208,5e-06,33
209,5e-06,33
210,5e-06,31
211,5e-06,31
212,5e-06,31
213,5e-06,31
214,5e-06,31
215,5e-06,31
216,5e-06,31
217,5e-06,31
218,5e-06,35
219,5e-06,33
220,5e-06,33
221,5e-06,35
222,5e-06,35
223,5e-06,35
224,5e-06,33
225,5e-06,33
226,5e-06,31
227,5e-06,33
228,5e-06,31
229,5e-06,33
230,5e-06,33
231,5e-06,33
232,5e-06,33
233,5e-06,33
234,5e-06,31
235,5e-06,33
236,5e-06,33
237,5e-06,33
238,5e-06,33
239,5e-06,33
240,5e-06,31
241,5e-06,31
242,5e-06,29
243,5e-06,31
244,5e-06,31
245,5e-06,31
246,5e-06,35
247,5e-06,35
248,5e-06,33
249,5e-06,33
250,5e-06,35
251,5e-06,33
252,5e-06,31
253,5e-06,33
254,5e-06,33
255,5e-06,31
256,5e-06,31
257,5e-06,33
258,5e-06,35
259,5e-06,35
260,5e-06,33
261,5e-06,33
262,5e-06,33
263,5e-06,33
264,5e-06,31
265,5e-06,33
266,5e-06,31
267,5e-06,31
268,5e-06,31
269,5e-06,31
270,5e-06,29
271,5e-06,31
272,5e-06,31
273,5e-06,31
274,5e-06,31
275,5e-06,31
276,5e-06,35
277,5e-06,35
278,5e-06,35
279,5e-06,35
280,5e-06,35
281,5e-06,35
282,5e-06,35
283,5e-06,33
284,5e-06,33
285,5e-06,33
286,5e-06,33
287,5e-06,31
288,5e-06,35
289,5e-06,35
290,5e-06,35
291,5e-06,35
292,5e-06,35
293,5e-06,35
294,5e-06,35
295,5e-06,35
296,5e-06,35
297,5e-06,35
298,5e-06,33
299,5e-06,35
300,5e-06,35
301,5e-06,33
302,5e-06,33
303,5e-06,33
304,5e-06,33
305,5e-06,33
306,5e-06,33
307,5e-06,31
308,5e-06,31
309,5e-06,31
310,5e-06,31
311,5e-06,31
312,5e-06,31
313,5e-06,33
314,5e-06,31
315,5e-06,31
316,5e-06,31
317,5e-06,31
318,5e-06,31
319,5e-06,31
320,5e-06,31
321,5e-06,31
322,5e-06,31
323,5e-06,31
324,5e-06,31
325,5e-06,31
326,5e-06,31
327,5e-06,31
328,5e-06,33
329,5e-06,31
330,5e-06,33
331,5e-06,31
332,5e-06,31
333,5e-06,33
334,5e-06,31
335,5e-06,29
336,5e-06,31
337,5e-06,31
338,5e-06,31
339,5e-06,31
340,5e-06,31
341,5e-06,31
342,5e-06,31
343,5e-06,29
344,5e-06,31
345,5e-06,29
346,5e-06,31
347,5e-06,31
348,5e-06,31
349,5e-06,29
