generation,best_fitness,median_tree_size
0,0.162427,63
1,0.159948,65
2,0.15126,61
3,0.15126,65
4,0.15079,47
5,0.132892,43
6,0.132892,49
7,0.132892,47
8,0.12554,47
9,0.12554,51
10,0.10439,53
11,0.055816,53
12,0.055816,57
13,0.055816,63
14,0.055816,65
15,0.055816,65
16,0.055816,57
17,0.055816,55
18,0.055816,55
19,0.055816,57
20,0.055816,61
21,0.055816,67
22,0.055816,67
23,0.055816,67
24,0.053775,67
25,0.053775,67
26,0.047517,69
27,0.047517,77
28,0.038598,77
29,0.038598,69
30,0.034002,67
31,0.033299,73
32,0.029162,73
33,0.029162,75
34,0.029162,77
35,0.025842,81
36,0.025842,83
37,0.025501,81
38,0.024197,79
39,0.024197,61
40,0.022495,61
41,0.020515,61
42,0.020515,61
43,0.020515,61
44,0.020385,67
45,0.019473,75
46,0.019473,79
47,0.019473,81
48,0.019473,81
49,0.016312,83
50,0.016312,89
51,0.015845,91
52,0.015752,91
53,0.013206,91
54,0.013206,83
55,0.013206,83
56,0.013206,87
57,0.009946,87
58,0.009946,87
59,0.009946,87
60,0.006641,87
61,0.006641,87
62,0.006641,87
63,0.006641,87
64,0.005206,93
65,0.005079,97
66,0.005041,97
67,0.005041,97
68,0.004992,97
69,0.004992,95
70,0.004811,93
71,0.004811,93
72,0.004713,95
73,0.004713,97
74,0.00414,97
75,0.00414,105
76,0.00414,105
77,0.001883,105
78,0.001883,99
79,0.001883,105
80,0.001671,99
81,0.001671,103
82,0.001555,95
83,0.001555,91
84,0.001149,89
85,0.0011,95
86,0.0011,97
87,0.0011,101
88,0.0011,107
89,0.001049,115
90,0.000981,115
91,0.000981,115
92,0.000958,115
93,0.000533,115
94,0.000533,115
95,0.000533,113
96,0.000511,117
97,0.000511,119
98,0.000511,113
99,0.000511,101
