generation,best_fitness,median_tree_size
0,0.456824,63
1,0.456824,67
2,0.322267,37
3,0.322267,43
4,0.322267,203
5,0.322267,203
6,0.322267,203
7,0.315183,47
8,0.315183,39
9,0.288586,41
10,0.288586,43
11,0.288586,45
12,0.288586,45
13,0.288586,47
14,0.288586,45
15,0.288586,45
16,0.288586,41
17,0.287088,39
18,0.287088,37
19,0.287088,39
20,0.287088,39
21,0.287088,39
22,0.287088,39
23,0.287088,37
24,0.287088,37
25,0.286982,37
26,0.286982,37
27,0.286982,37
28,0.286911,37
29,0.286911,37
30,0.286911,37
31,0.286139,37
32,0.256571,37
33,0.246475,37
34,0.246475,37
35,0.246475,37
36,0.199082,45
37,0.199082,49
38,0.146325,53
39,0.146325,53
40,0.146325,57
41,0.146325,61
42,0.110338,63
43,0.110338,63
44,0.110338,63
45,0.109881,63
46,0.109881,63
47,0.069945,63
48,0.069945,63
49,0.069945,63
50,0.068427,59
51,0.028041,59
52,0.028041,59
53,0.028041,59
54,0.028041,57
55,0.028041,57
56,0.026433,57
57,0.026433,57
58,0.026433,57
59,0.026433,59
60,0.026433,59
61,0.026433,59
62,0.026433,63
63,0.026433,61
64,0.026433,63
65,0.026433,67
66,0.026433,67
67,0.026433,67
68,0.026433,75
69,0.026433,75
70,0.026433,75
71,0.026433,75
72,0.026433,75
73,0.026433,75
74,0.026433,75
75,0.025947,73
76,0.025947,73
77,0.025947,73
78,0.025947,69
79,0.025947,67
80,0.025947,67
81,0.025947,67
82,0.025947,67
83,0.025947,65
84,0.025947,65
85,0.025947,65
86,0.025947,65
87,0.025947,65
88,0.025947,65
89,0.025947,65
90,0.025947,65
91,0.025947,65
92,0.025947,65
93,0.025947,67
94,0.025947,65
95,0.025947,65
96,0.025947,65
97,0.025947,65
98,0.025947,67
99,0.025947,67
