generation,best_fitness,median_tree_size
0,812.070532,63
1,812.070532,203
2,811.277558,267
3,798.7958,265
4,798.7958,265
5,701.444849,267
6,701.430242,265
7,664.513526,259
8,648.929934,259
9,648.929934,259
10,636.903529,261
11,636.706165,267
12,583.00268,261
13,583.00268,229
14,583.00268,229
15,578.908821,247
16,567.432806,255
17,567.432806,255
18,565.992448,257
19,565.992448,259
20,537.579288,255
21,537.575354,257
22,537.558759,261
23,537.558759,261
24,537.558759,251
25,537.558759,249
26,537.558759,247
27,537.558759,255
28,537.558759,255
29,537.558759,257
30,537.558759,257
31,535.490884,263
32,535.370404,269
33,535.370404,271
34,535.370404,271
35,535.370404,253
36,535.370404,257
37,535.290442,279
38,533.332271,281
39,531.885665,281
40,531.885665,279
41,526.940849,281
42,526.940849,285
43,526.940849,285
44,526.940849,287
45,526.940849,287
46,526.940849,289
47,526.940849,289
48,526.940849,283
49,526.823345,273
50,526.823345,281
51,526.741481,287
52,526.045301,289
53,526.045301,289
54,525.441179,289
55,525.441179,287
56,525.441179,285
57,525.441179,285
58,521.872765,267
59,521.802268,265
60,521.668091,263
61,519.691455,267
62,519.691455,267
63,519.691455,265
64,518.695761,261
65,518.695761,261
66,517.814255,265
67,517.814255,269
68,517.368108,279
69,517.368082,275
70,464.658641,271
71,464.657823,283
72,464.56473,283
73,464.56473,273
74,461.565476,265
75,394.616368,271
76,339.857376,269
77,305.954601,271
78,305.954601,245
79,235.644152,213
80,227.203067,209
81,226.16491,217
82,226.16491,227
83,214.891307,233
84,214.870566,229
85,191.146257,235
86,191.132706,243
87,191.077912,249
88,189.560209,247
89,188.746708,241
90,185.862358,239
91,185.862358,233
92,185.862358,239
93,184.929831,243
94,184.929831,243
95,183.392317,243
96,182.336554,247
97,182.336554,251
98,182.336554,253
99,182.336554,261
