generation,best_fitness,median_tree_size
0,1.296564,13
1,1.203175,10
2,1.067608,11
3,1.067608,13
4,0.269212,14
5,0.269212,17
6,0.258793,22
7,0.258793,25
8,0.258793,31
9,0.258793,34
10,0.197506,36
11,0.197506,40
12,0.197506,40
13,0.197506,38
14,0.197506,37
15,0.191124,37
16,0.191124,36
17,0.150124,36
18,0.150124,35
19,0.150124,35
20,0.150124,34
21,0.150124,34
22,0.150124,34
23,0.150124,33
24,0.136806,32
25,0.136806,31
26,0.136806,32
27,0.136806,31
28,0.135303,30
29,0.135303,29
30,0.135303,29
31,0.135303,31
32,0.135303,32
33,0.135303,34
34,0.135303,35
35,0.117948,35
36,0.117948,35
37,0.117948,35
38,0.117948,35
39,0.117948,32
40,0.117948,32
41,0.116784,30
42,0.116784,32
43,0.116784,32
44,0.099041,38
45,0.099041,41
46,0.099041,42
47,0.081824,42
48,0.071348,43
49,0.071348,45
50,0.071348,45
51,0.071348,45
52,0.071348,45
53,0.071348,44
54,0.071348,45
55,0.071348,45
56,0.071348,43
57,0.071348,44
58,0.071348,46
59,0.071348,47
60,0.069988,46
61,0.069988,47
62,0.069988,47
63,0.069988,48
64,0.069988,49
65,0.069988,51
66,0.069988,52
67,0.069988,53
68,0.069988,53
69,0.069988,54
70,0.069584,55
71,0.066245,53
72,0.066245,53
73,0.065567,48
74,0.065567,56
75,0.059711,55
76,0.059711,54
77,0.059711,50
78,0.059711,51
79,0.059711,55
80,0.059711,58
81,0.059297,59
82,0.059297,57
83,0.059297,57
84,0.059297,57
85,0.059297,57
86,0.058877,57
87,0.058877,57
88,0.057264,54
89,0.057264,57
90,0.057264,57
91,0.057264,57
92,0.057264,55
93,0.055549,57
94,0.055549,54
95,0.055549,60
96,0.055549,61
97,0.05428,61
98,0.05428,61
99,0.053904,61
