generation,best_fitness,median_tree_size
0,5.500184,63
1,5.500184,43
2,5.500184,47
3,5.207445,45
4,5.207445,53
5,5.207445,49
6,5.207445,45
7,4.916238,45
8,4.909514,43
9,3.581634,45
10,3.581634,49
11,3.550172,47
12,3.190417,49
13,3.190417,49
14,3.190417,49
15,2.758826,49
16,2.758826,49
17,2.758826,51
18,2.758826,53
19,2.758826,53
20,2.758826,51
21,2.758826,51
22,2.758826,55
23,2.758826,55
24,2.758826,47
25,2.758826,47
26,2.758826,47
27,2.758826,47
28,2.692678,45
29,2.692678,45
30,2.692678,45
31,2.692678,45
32,2.692678,45
33,2.692678,45
34,2.558417,45
35,1.740619,45
36,1.740619,45
37,1.740619,45
38,1.740619,49
39,1.740619,43
40,1.740619,43
41,1.740619,43
42,1.740619,45
43,1.740619,43
44,1.740619,43
45,1.740619,47
46,1.740619,49
47,1.740619,49
48,1.740619,47
49,1.740619,49
50,1.740619,49
51,1.740619,43
52,1.740619,45
53,1.740619,43
54,1.740619,45
