generation,best_fitness,median_tree_size
0,0.308845,28
1,0.167091,15
2,0.167091,35
3,0.063919,45
4,0.051939,43
5,0.051939,44
6,0.049662,47
7,0.049662,47
8,0.04665,46
9,0.044219,46
10,0.044219,54
11,0.044219,57
12,0.044219,61
13,0.044219,62
14,0.044219,62
15,0.044219,62
16,0.044219,62
17,0.042047,62
18,0.042047,62
19,0.040901,62
20,0.040901,66
21,0.040901,66
22,0.040901,65
23,0.040241,62
24,0.040241,62
25,0.040241,62
26,0.040241,66
27,0.040241,67
28,0.040241,67
29,0.040241,67
30,0.040241,68
31,0.040241,69
32,0.040241,68
33,0.040241,69
34,0.040241,68
35,0.040241,68
36,0.040241,67
37,0.040241,68
38,0.040166,68
39,0.040166,69
40,0.025907,67
41,0.025907,65
42,0.019853,57
43,0.019853,54
44,0.019853,63
45,0.019853,63
46,0.019853,66
47,0.012642,66
48,0.004896,66
49,0.004896,66
50,0.004896,66
51,0.004896,67
52,0.004896,67
53,0.004896,71
54,0.004896,71
55,0.004896,71
56,0.004896,71
57,0.004896,71
58,0.004896,71
59,0.004896,71
60,0.004896,72
61,0.004896,73
62,0.004896,73
63,0.004896,73
64,0.004091,73
65,0.004091,73
66,0.004091,73
67,0.004091,71
68,0.004091,71
69,0.004091,71
70,0.004091,71
71,0.004091,71
72,0.004091,71
73,0.004091,71
74,0.004091,71
75,0.004091,71
76,0.004091,71
77,0.004091,71
78,0.004091,71
79,0.004091,71
80,0.004091,71
81,0.004091,71
82,0.004091,71
83,0.004091,71
84,0.004091,71
85,0.004091,71
86,0.004091,71
87,0.003114,71
88,0.003114,71
89,0.003114,71
90,0.003114,70
91,0.003114,70
92,0.003114,70
93,0.003114,70
94,0.003114,70
95,0.003114,70
96,0.003114,70
97,0.003114,70
98,0.003114,70
99,0.003114,70
100,0.003114,70
101,0.003114,70
102,0.003114,70
103,0.003114,70
104,0.003114,70
105,0.003114,70
106,0.003114,70
107,0.003114,70
108,0.003114,70
109,0.003114,70
110,0.003114,70
111,0.003114,70
112,0.003114,70
113,0.003114,70
114,0.003114,71
115,0.003114,70
116,0.003114,70
117,0.003114,71
118,0.003114,70
119,0.003114,70
120,0.003114,72
121,0.003114,74
122,0.003114,70
123,0.003114,71
124,0.003114,71
125,0.003114,74
126,0.003114,75
127,0.003114,73
128,0.003114,75
129,0.003114,74
130,0.003114,75
131,0.003114,75
132,0.003114,77
133,0.003114,73
134,0.003114,75
135,0.003114,75
136,0.003114,79
137,0.003114,77
138,0.003114,78
139,0.003114,78
140,0.003114,78
