generation,best_fitness,median_tree_size
0,1.318877,15
1,0.710855,11
2,0.710855,15
3,0.379624,29
4,0.379624,17
5,0.286273,16
6,0.286273,16
7,0.286273,18
8,0.286273,19
9,0.286273,20
10,0.286273,22
11,0.229727,22
12,0.229727,25
13,0.229727,30
14,0.229727,30
15,0.229727,29
16,0.229727,32
17,0.229727,28
18,0.229727,24
19,0.229727,22
20,0.229727,22
21,0.229727,37
22,0.229727,36
23,0.229727,35
24,0.229727,39
25,0.229727,47
26,0.229727,46
27,0.229727,47
28,0.229727,44
29,0.186556,39
30,0.186556,40
31,0.186556,41
32,0.13239,36
33,0.13239,31
34,0.13239,30
35,0.080291,29
36,0.080291,29
37,0.080291,30
38,0.080291,30
39,0.080291,30
40,0.080281,29
41,0.080281,29
42,0.080281,29
43,0.07448,29
44,0.07448,29
45,0.072264,28
46,0.072264,28
47,0.072264,29
48,0.072264,30
49,0.072264,30
50,0.072264,34
51,0.072264,35
52,0.072264,35
53,0.068543,35
54,0.068543,35
55,0.068543,35
56,0.068543,35
57,0.068542,35
58,0.068542,36
59,0.068542,35
60,0.068542,36
61,0.066937,34
62,0.066937,35
63,0.06419,36
64,0.06419,36
65,0.06419,38
66,0.062252,39
67,0.062252,41
68,0.062252,41
69,0.058337,41
70,0.056722,42
71,0.056722,42
72,0.056722,42
73,0.056722,42
74,0.056722,42
75,0.056722,41
76,0.05253,41
77,0.05253,41
78,0.05253,41
79,0.05253,41
80,0.05253,41
81,0.05253,40
82,0.05253,40
83,0.052254,40
84,0.052254,40
85,0.052254,40
86,0.052254,40
87,0.052254,42
88,0.052254,45
89,0.043727,47
90,0.043727,47
91,0.043727,47
92,0.043727,47
93,0.043727,47
94,0.043727,47
95,0.043727,47
96,0.03963,47
97,0.03963,47
98,0.03963,48
99,0.03963,47
100,0.03963,48
101,0.03963,48
102,0.03963,48
103,0.03963,49
104,0.03963,49
105,0.037614,48
106,0.037614,48
107,0.037614,50
108,0.037614,49
109,0.027985,49
110,0.027985,49
111,0.027985,49
112,0.027985,49
113,0.027985,49
114,0.027985,49
115,0.023566,49
116,0.023566,48
117,0.023566,48
118,0.023566,48
119,0.023566,48
120,0.023566,47
121,0.023566,48
122,0.023566,48
123,0.023566,48
124,0.023566,47
125,0.023566,47
126,0.023566,48
127,0.023566,47
128,0.023566,48
129,0.023521,48
130,0.023521,48
131,0.023521,49
132,0.023521,49
133,0.023521,51
134,0.023521,53
135,0.023521,55
136,0.023521,56
137,0.023521,55
138,0.023521,55
139,0.023521,55
140,0.019893,55
141,0.019893,55
142,0.019893,56
143,0.018333,56
144,0.018333,55
145,0.018333,56
146,0.018333,55
147,0.018333,55
148,0.018333,55
149,0.018333,56
150,0.018333,56
151,0.018333,56
152,0.018333,56
153,0.018333,58
154,0.018333,57
155,0.018333,56
156,0.018333,56
157,0.018333,56
158,0.018333,56
159,0.018333,57
160,0.016573,57
161,0.016573,61
162,0.016573,61
163,0.016573,62
164,0.013353,62
165,0.013353,62
166,0.013353,62
167,0.013353,61
168,0.013353,60
169,0.013353,60
170,0.013353,59
171,0.013353,60
172,0.013353,60
173,0.013353,60
174,0.013353,60
175,0.013353,60
176,0.013353,60
177,0.013353,60
178,0.013353,60
179,0.013353,60
180,0.013353,59
181,0.013353,59
182,0.013353,59
183,0.013353,60
184,0.013353,59
185,0.013353,59
186,0.013353,59
187,0.013353,60
188,0.013353,59
189,0.013353,60
190,0.013353,60
191,0.013353,60
192,0.013353,60
193,0.013353,60
194,0.013353,59
195,0.013353,60
196,0.013353,60
197,0.013353,60
198,0.013353,60
199,0.013353,59
