generation,best_fitness,median_tree_size
0,7.921209,63
1,7.921209,99
2,7.921209,99
3,7.921209,63
4,7.921209,57
5,7.921209,103
6,7.921209,113
7,7.921209,127
8,7.921209,169
9,7.921209,157
10,7.921209,139
11,7.921209,157
12,7.921209,129
13,7.921209,121
14,7.921209,115
15,7.921209,109
16,7.921209,35
17,7.921209,35
18,7.921209,37
19,7.921209,41
20,7.921209,47
21,7.921209,47
22,7.921209,45
23,7.921209,45
24,7.921209,47
25,7.921209,49
26,7.921209,49
27,7.921209,47
28,7.921209,47
29,7.921209,49
30,7.921209,47
31,7.921209,53
32,7.921209,45
33,7.921209,41
34,7.921209,39
35,7.921209,39
36,7.921209,39
37,7.921209,39
38,7.670075,39
39,7.670075,39
40,7.670075,37
41,7.670075,39
42,7.601828,35
43,7.601828,35
44,7.574477,35
45,7.574477,33
46,7.574477,33
47,7.573991,33
48,7.573991,33
49,7.51758,33
50,7.51758,37
51,7.51758,37
52,7.443346,37
53,7.430699,37
54,7.430699,39
55,7.430699,39
56,6.776437,41
57,6.776437,41
58,6.775409,41
59,6.775409,41
60,6.741886,41
61,6.741886,41
62,6.598131,41
63,6.51528,43
64,6.51528,43
65,6.51528,43
66,6.51528,43
67,6.51528,43
68,6.51528,43
69,6.397719,43
70,6.397719,43
71,6.397719,43
72,6.397719,43
73,5.907408,43
74,5.907408,43
75,5.907408,43
76,5.907408,41
77,5.907408,41
78,5.907408,43
79,5.907408,43
80,5.907408,43
81,5.907408,43
82,5.907408,43
83,5.907408,41
84,5.907408,41
85,5.907408,43
86,5.907408,45
87,5.907408,43
88,5.907408,43
89,5.907408,43
90,5.907408,43
91,5.907408,37
92,5.907408,43
93,5.907408,43
94,5.907408,43
95,5.907408,37
96,5.907408,35
97,5.907408,31
98,5.907408,29
99,5.907408,29
