generation,best_fitness,median_tree_size
0,0.001479,63
1,0.001479,73
2,0.001476,61
3,0.001476,55
4,0.001068,55
5,0.001068,53
6,0.001068,55
7,0.000394,51
8,0.000343,33
9,1.8e-05,33
10,1.8e-05,31
11,1.8e-05,33
12,1.8e-05,33
13,1.6e-05,37
14,6e-06,33
15,6e-06,29
16,6e-06,29
17,6e-06,29
18,6e-06,25
19,6e-06,27
20,6e-06,27
21,6e-06,27
22,6e-06,29
23,6e-06,27
24,6e-06,27
25,6e-06,27
26,6e-06,27
27,6e-06,27
28,6e-06,27
29,6e-06,27
30,6e-06,27
31,6e-06,29
32,6e-06,27
33,6e-06,27
34,6e-06,27
35,6e-06,27
36,6e-06,29
37,6e-06,27
38,6e-06,27
39,6e-06,27
40,6e-06,27
41,6e-06,27
42,6e-06,27
43,4e-06,27
44,4e-06,27
45,4e-06,29
46,4e-06,27
47,4e-06,27
48,4e-06,27
49,4e-06,27
50,4e-06,27
51,4e-06,27
52,4e-06,27
53,4e-06,27
54,4e-06,29
55,4e-06,29
56,4e-06,33
57,4e-06,29
58,4e-06,29
59,4e-06,27
60,4e-06,27
61,4e-06,29
62,4e-06,33
63,4e-06,33
64,4e-06,33
65,4e-06,31
66,4e-06,33
67,4e-06,31
68,4e-06,33
69,4e-06,33
70,4e-06,33
71,4e-06,33
72,4e-06,33
73,4e-06,33
74,4e-06,33
75,4e-06,33
76,4e-06,33
77,4e-06,33
78,4e-06,33
79,4e-06,33
80,4e-06,33
81,4e-06,33
82,4e-06,33
83,4e-06,31
84,4e-06,31
85,4e-06,31
86,4e-06,31
87,4e-06,31
88,4e-06,33
89,4e-06,33
90,4e-06,33
91,4e-06,33
92,4e-06,33
93,4e-06,33
94,4e-06,33
95,4e-06,33
96,4e-06,31
97,4e-06,33
98,4e-06,31
99,4e-06,33
100,4e-06,33
101,4e-06,31
102,4e-06,31
103,4e-06,31
104,4e-06,31
105,4e-06,31
106,4e-06,31
107,4e-06,31
108,4e-06,31
109,4e-06,31
110,4e-06,31
111,4e-06,31
112,4e-06,31
113,4e-06,31
114,4e-06,31
115,4e-06,31
116,4e-06,31
117,4e-06,31
118,4e-06,31
119,4e-06,31
120,4e-06,31
121,4e-06,31
122,4e-06,31
123,4e-06,31
124,4e-06,31
125,4e-06,31
126,4e-06,31
127,4e-06,31
128,4e-06,31
129,4e-06,31
130,4e-06,31
131,4e-06,31
132,4e-06,31
133,4e-06,31
134,4e-06,31
135,4e-06,31
136,4e-06,31
137,4e-06,31
138,4e-06,31
139,4e-06,31
140,4e-06,31
141,4e-06,31
142,4e-06,31
143,4e-06,31
144,4e-06,31
145,4e-06,31
146,4e-06,31
147,4e-06,31
148,4e-06,31
149,4e-06,33
150,4e-06,31
151,4e-06,31
152,4e-06,31
153,4e-06,31
154,4e-06,31
155,4e-06,31
156,4e-06,31
157,4e-06,31
158,4e-06,31
159,4e-06,31
160,4e-06,31
161,4e-06,31
162,4e-06,31
