generation,best_fitness,median_tree_size
0,8.490572,63
1,1.138354,53
2,1.138354,37
3,1.138354,41
4,1.089026,49
5,1.085678,53
6,1.04744,55
7,0.955873,53
8,0.913596,51
9,0.913596,57
10,0.913596,59
11,0.913596,59
12,0.913596,57
13,0.887564,57
14,0.886086,51
15,0.886086,59
16,0.885527,61
17,0.885527,69
18,0.885057,73
19,0.884836,73
20,0.884836,77
21,0.884836,75
22,0.883412,73
23,0.883412,69
24,0.883412,77
25,0.883412,81
26,0.883292,81
27,0.883292,81
28,0.883292,81
29,0.883292,81
30,0.883187,83
31,0.883187,83
32,0.882156,83
33,0.882156,83
34,0.882156,77
35,0.882156,81
36,0.882156,81
37,0.882156,81
38,0.882156,83
39,0.882134,83
40,0.882134,83
41,0.882134,85
42,0.882134,85
43,0.881987,93
44,0.881987,93
45,0.881987,93
46,0.881987,93
47,0.881987,93
48,0.881971,93
49,0.881971,93
50,0.881971,93
51,0.881927,95
52,0.881926,95
53,0.881926,95
54,0.881926,93
55,0.881926,93
56,0.881791,93
57,0.881791,93
58,0.881791,93
59,0.881791,93
60,0.881791,97
61,0.881791,97
62,0.881791,95
63,0.881791,93
64,0.881791,93
65,0.881791,93
66,0.881791,95
67,0.881791,95
68,0.881791,95
69,0.881791,95
70,0.881791,101
71,0.881791,101
72,0.881791,101
73,0.881791,101
74,0.881791,101
75,0.881791,101
76,0.881791,97
77,0.881791,97
78,0.881791,97
79,0.881791,97
80,0.881791,97
81,0.881791,97
82,0.881791,97
83,0.881791,97
84,0.881791,97
85,0.881791,97
86,0.881791,97
87,0.881708,97
88,0.881708,97
89,0.881572,97
90,0.881572,97
91,0.881572,99
92,0.881572,95
93,0.881572,95
94,0.881333,95
95,0.881333,95
96,0.881333,95
97,0.881333,95
98,0.881333,95
99,0.881333,95
