generation,best_fitness,median_tree_size
0,1.544691,63
1,1.544691,73
2,1.544691,69
3,1.463733,119
4,1.397592,237
5,1.39521,237
6,1.348575,237
7,1.348575,237
8,1.239498,105
9,1.193464,103
10,1.193464,107
11,1.193464,107
12,1.193464,103
13,1.109926,101
14,1.109926,99
15,1.092437,95
16,1.082566,95
17,1.082566,95
18,1.082566,99
19,1.082566,105
20,0.562273,103
21,0.562273,103
22,0.562273,103
23,0.562273,99
24,0.480638,101
25,0.480638,125
26,0.480638,99
27,0.480638,93
28,0.480638,45
29,0.352863,41
30,0.348473,37
31,0.348473,37
32,0.348473,37
33,0.338039,39
34,0.338039,37
35,0.338039,39
36,0.336851,39
37,0.31018,39
38,0.31018,39
39,0.31018,41
40,0.31018,45
41,0.31018,51
42,0.31018,41
43,0.31018,39
44,0.31018,39
45,0.31018,39
46,0.31018,39
47,0.31018,41
48,0.31018,41
49,0.31018,41
50,0.308963,41
51,0.308963,41
52,0.308963,41
53,0.301971,41
54,0.301971,41
55,0.301971,41
56,0.301971,41
57,0.301971,41
58,0.301971,43
59,0.301971,41
60,0.301971,41
61,0.301971,41
62,0.301971,43
63,0.301971,43
64,0.301971,43
65,0.301971,43
66,0.301971,43
67,0.301971,43
68,0.301971,43
69,0.301971,43
70,0.301971,43
71,0.301971,43
72,0.301971,43
73,0.301971,43
74,0.301971,43
75,0.301971,43
76,0.301971,43
77,0.301971,43
78,0.301971,43
79,0.301971,43
80,0.301971,43
81,0.301971,43
82,0.301971,43
83,0.301971,43
84,0.301971,43
85,0.301971,43
86,0.301971,43
87,0.301971,43
88,0.301971,43
89,0.301971,43
90,0.301971,43
91,0.301971,43
92,0.300427,43
93,0.297817,43
94,0.297817,43
95,0.297817,43
96,0.297817,43
97,0.297817,43
98,0.297817,45
99,0.297107,51
100,0.297107,51
101,0.297107,51
102,0.297107,51
103,0.297107,51
104,0.297107,51
105,0.297107,51
106,0.296564,51
107,0.296564,51
108,0.296564,51
109,0.296564,51
110,0.296564,51
111,0.296564,51
112,0.296564,51
113,0.295717,51
114,0.295717,51
115,0.295717,51
116,0.295108,51
117,0.295108,53
118,0.295108,51
119,0.295108,53
120,0.295108,51
121,0.295108,51
122,0.295108,51
123,0.295108,51
124,0.295108,51
125,0.295108,51
126,0.294734,53
127,0.294734,53
128,0.294734,53
129,0.294734,53
130,0.294734,53
131,0.294734,49
132,0.294734,49
133,0.294734,49
134,0.294734,49
135,0.294734,49
136,0.294734,49
137,0.294734,49
138,0.294734,49
139,0.294734,49
140,0.294734,49
141,0.294734,49
142,0.294734,49
143,0.294734,49
144,0.294734,49
145,0.294734,49
146,0.294734,49
147,0.294734,49
148,0.294734,49
149,0.294734,49
150,0.294734,49
151,0.294734,49
152,0.294734,49
153,0.294734,49
154,0.294734,49
155,0.294734,49
156,0.294734,49
157,0.294734,49
158,0.294734,49
159,0.294734,49
160,0.294734,49
161,0.294734,49
162,0.294734,49
163,0.294734,49
164,0.294734,49
165,0.294734,49
166,0.294734,49
167,0.294734,49
168,0.294734,49
169,0.294734,49
170,0.294734,49
171,0.294734,49
172,0.294734,49
173,0.294734,49
174,0.294734,49
175,0.294734,49
176,0.294734,49
177,0.294734,49
178,0.294734,49
179,0.294734,49
180,0.294734,49
181,0.294734,49
182,0.294734,49
183,0.294734,49
184,0.294734,49
185,0.294734,49
186,0.294734,49
187,0.294734,49
188,0.294734,49
189,0.294734,49
190,0.294734,49
191,0.294734,49
192,0.294734,49
193,0.294734,49
194,0.294734,49
195,0.294734,49
196,0.294734,49
197,0.294734,49
198,0.294734,49
199,0.294734,49
200,0.294734,49
201,0.294734,49
202,0.294734,49
203,0.294734,49
204,0.294734,49
205,0.294734,49
206,0.294734,49
207,0.294734,49
208,0.294734,49
209,0.294734,49
210,0.294734,49
211,0.294734,49
212,0.294734,49
213,0.294734,49
214,0.294734,49
215,0.294734,49
216,0.294734,49
217,0.294734,49
218,0.294734,49
219,0.294734,49
220,0.294734,49
221,0.294734,49
222,0.294734,49
223,0.294734,49
224,0.294734,49
225,0.294734,49
226,0.294734,49
227,0.294734,49
228,0.294734,49
229,0.294734,49
230,0.294734,49
231,0.294734,49
232,0.294734,49
233,0.294734,49
234,0.294734,49
235,0.294734,49
236,0.294734,49
237,0.294734,49
238,0.294734,49
239,0.294734,49
240,0.294734,49
241,0.294734,49
242,0.294734,49
243,0.294734,49
244,0.294734,49
