generation,best_fitness,median_tree_size
0,0.776101,63
1,0.476279,71
2,0.476279,89
3,0.236184,113
4,0.236184,219
5,0.236184,219
6,0.236184,219
7,0.236184,219
8,0.236184,39
9,0.233338,37
10,0.2214,33
11,0.202928,33
12,0.171987,33
13,0.171987,31
14,0.171987,33
15,0.171987,37
16,0.171987,43
17,0.171987,43
18,0.162896,47
19,0.162896,43
20,0.162896,43
21,0.130724,43
22,0.130724,43
23,0.130724,43
24,0.130724,43
25,0.130724,57
26,0.130724,57
27,0.130724,59
28,0.130724,57
29,0.130724,59
30,0.130724,59
31,0.130724,61
32,0.13032,63
33,0.13032,63
34,0.13032,63
35,0.104191,63
36,0.104191,65
37,0.104191,65
38,0.104191,65
39,0.104191,65
40,0.096456,65
41,0.094449,67
42,0.083408,73
43,0.078721,73
44,0.078721,73
45,0.073388,73
46,0.070043,73
47,0.07001,71
48,0.07001,73
49,0.07001,73
50,0.066114,73
51,0.066114,73
52,0.066114,77
53,0.066114,79
54,0.066114,75
55,0.066114,75
56,0.066114,77
57,0.066114,77
58,0.066114,79
59,0.066114,83
60,0.066114,83
61,0.066114,83
62,0.066114,83
63,0.066114,83
64,0.066114,83
65,0.066114,83
66,0.060052,85
67,0.060052,85
68,0.060052,83
69,0.060052,83
70,0.060052,83
71,0.060052,85
72,0.060052,83
73,0.060052,83
74,0.060052,85
75,0.060052,85
76,0.060052,85
77,0.060052,85
78,0.060052,85
79,0.060052,85
80,0.060052,79
81,0.060031,83
82,0.060031,79
83,0.060031,83
84,0.059565,79
85,0.059565,79
86,0.059556,79
87,0.059556,77
88,0.059556,77
89,0.059543,77
90,0.055887,77
91,0.055781,77
92,0.055781,77
93,0.055781,77
94,0.055781,77
95,0.055781,77
96,0.055781,81
97,0.055286,81
98,0.055286,81
99,0.055286,81
100,0.055286,81
101,0.055286,81
102,0.055286,73
103,0.055286,73
104,0.055286,77
105,0.055286,83
106,0.055286,83
107,0.055286,83
108,0.055286,87
109,0.055286,87
110,0.055286,85
111,0.055286,85
112,0.055286,85
113,0.055286,85
114,0.055286,85
115,0.055286,85
116,0.055286,85
117,0.055286,85
118,0.055286,85
119,0.053742,87
120,0.053742,87
121,0.053742,87
122,0.053742,89
123,0.053742,89
124,0.053742,89
125,0.053742,89
126,0.053742,89
127,0.053739,89
128,0.053734,89
129,0.053734,89
130,0.053714,89
131,0.053714,89
132,0.053714,89
133,0.053714,89
134,0.053714,89
135,0.053714,89
136,0.053714,89
137,0.053714,89
138,0.053714,89
139,0.053714,89
140,0.053714,89
141,0.053714,89
142,0.053714,89
143,0.053714,93
144,0.053713,89
