generation,best_fitness,median_tree_size
0,0.002214,63
1,0.000212,77
2,0.000212,63
3,3.9e-05,105
4,3.9e-05,103
5,3.9e-05,55
6,3.9e-05,43
7,3.6e-05,43
8,3e-05,45
9,3e-05,41
10,3e-05,41
11,2.4e-05,41
12,1.1e-05,41
13,1.1e-05,41
14,1.1e-05,41
15,1.1e-05,41
16,1.1e-05,41
17,1.1e-05,43
18,1.1e-05,47
19,1.1e-05,49
20,1.1e-05,51
21,1.1e-05,51
22,1.1e-05,51
23,1.1e-05,51
24,1.1e-05,51
25,1.1e-05,51
26,1.1e-05,51
27,1.1e-05,51
28,1.1e-05,51
29,1.1e-05,51
30,1.1e-05,51
31,1.1e-05,51
32,1.1e-05,51
33,1e-05,51
34,1e-05,51
35,1e-05,51
36,1e-05,51
37,1e-05,51
38,1e-05,51
39,9e-06,51
40,9e-06,51
41,9e-06,51
42,9e-06,51
43,9e-06,53
44,9e-06,53
45,9e-06,57
46,9e-06,51
47,9e-06,51
48,9e-06,55
49,9e-06,55
50,9e-06,53
51,9e-06,55
52,9e-06,55
53,9e-06,55
54,9e-06,55
55,9e-06,55
56,9e-06,53
57,9e-06,55
58,9e-06,55
59,9e-06,55
60,9e-06,55
61,9e-06,55
62,9e-06,55
63,9e-06,55
64,9e-06,55
65,9e-06,55
66,9e-06,55
67,9e-06,55
68,9e-06,55
69,9e-06,55
70,9e-06,55
71,9e-06,55
72,9e-06,55
73,9e-06,55
74,9e-06,55
75,9e-06,55
76,9e-06,55
77,9e-06,55
78,9e-06,55
79,9e-06,55
80,9e-06,55
81,9e-06,55
82,9e-06,53
83,9e-06,53
84,9e-06,53
85,9e-06,53
86,9e-06,53
87,9e-06,53
88,9e-06,53
89,9e-06,53
90,9e-06,53
91,9e-06,53
92,9e-06,53
93,9e-06,53
94,9e-06,53
95,9e-06,53
96,9e-06,53
97,9e-06,53
98,9e-06,53
99,9e-06,53
