Test ID,Test Case,Std Error,EML Error,Std Nodes,EML Nodes,Std Gens,EML Gens,Std Status,EML Status,Std Formula,EML Formula
1.1,Phase 1: f(x) = exp(x),0.000000,0.000000,2,3,0,0,CONVERGED,CONVERGED,exp(x),exp(x)
1.2,Phase 1: f(x) = ln(x),0.000000,0.000006,2,45,0,80,CONVERGED,BUDGET EXHAUSTED,log(x),exp(x) - log(-log(E - log(-log(-log(-log(-log(E - log(exp(x) - log(x))) + exp(exp(x))/(E - log(x))) + exp(exp(x))/(E - log(x))) + exp(E)/(E - log(E - x))) + exp(E)/(E - log(E - x)))) + exp(exp(x))/x)
1.3,"Phase 1: f(x1, x2) = x1 + x2",0.000000,7.352252,5,11,0,40,CONVERGED,BUDGET EXHAUSTED,(x2 + (x1 / 1.0)),exp(x1) - log(-x2 + exp(-x1 + exp(x1)))
1.4,Phase 1: f(x) = exp(x) * exp(-x^2)  [EML home territory],0.000000,0.005139,8,83,30,99,CONVERGED,BUDGET EXHAUSTED,exp(((x / 1.0) * (1.0 - x))),exp(exp(exp(exp(exp(exp(x))/(E - log(x)))/(exp(exp(exp(E)/x)/x) - log(exp(x) - log(-log(E - log(x)) + exp(E)))))/x)/(-log(E - log(E - x)) + exp(exp(exp(exp(E)*exp(-x))/x)/(-log(-1 + exp(E)/x) + exp(exp(E))/(E - log(x))))/(x - exp(x) + exp(E)*exp(-x))))/(E - log(-log(x) + exp(E)/(exp(x) - log(x))))
2.1,Phase 2: f(x) = sin(x) + cos(x),0.009667,0.143639,30,125,80,99,BUDGET EXHAUSTED,BUDGET EXHAUSTED,(tan(cos((tan(1.0) - (cos(sin(sin(x))) + x)))) + ((tan(x) - tan(x)) / (cos((1.0 - tan(tan(x)))) - tan(cos((1.0 * 1.0)))))),exp(exp(exp(exp(E)*exp(x)*exp(-exp(exp(x))))/(-exp(exp(E)*exp(-exp(exp(x)))*log(x))*log(-log(-log(-log(x) + exp(exp(x))/x) + exp(exp(exp(x))/x)/(E - log(x))) + exp(E)) + exp(exp(E)/x)*exp(exp(E)*exp(-exp(exp(x)))*log(x))/(exp(x) - log(x))))/(-log(-log(E - log(exp(exp(E)/x) - log(exp(exp(x)) - log(x)))) + exp(E)/(E - x)) + exp(exp(exp(exp(exp(x))))/(-log(-x + exp(x)) + exp(E)))/(-x + exp(exp(-1)*exp(exp(exp(x))))/(-x + exp(exp(x))/x))))/(-log(x) + exp(exp(exp(E)/(-log(-1 + exp(E)) + exp(E)))/(-log(x) + exp(E)/(exp(x) - log(x))))/(E - log(x)))
3.1,Phase 3: f(x) = sinh(x),0.000000,3.695974,2,75,0,80,CONVERGED,BUDGET EXHAUSTED,sinh(x),exp(x) - log(-log(-log(-log(-log(-log(exp(x) - log(-1 + exp(E)/x)) + exp(-x)*exp(exp(x))) + exp(-1)*exp(E)) + exp(exp(x))/(exp(exp(E)/(exp(x) - log(x))) - log(x))) + exp(E)/(-log(exp(x) - log(-log(-x + exp(exp(x))/x) + exp(exp(x))/x)) + exp(E)/(-log(-1 + E) + exp(E)/(E - log(x))))) + exp(E)/(E - log(-x + exp(x))))
3.2,Phase 3: f(x) = arctan(x),0.000000,FAIL,2,,0,100,CONVERGED,TIMEOUT,atan(x),TIMEOUT
3.3,Phase 3: f(x) = x^x,0.000000,1.814286,7,75,50,80,CONVERGED,BUDGET EXHAUSTED,exp((log(x) / (1.0 / x))),exp(x) - log(-log(-log(-log(-log(E - log(-log(exp(x) - log(x)) + exp(E)/x)) + exp(E)/(exp(exp(x)) - log(exp(x) - log(E - log(x))))) + exp(exp(E)/(E - log(-log(exp(x) - log(x)) + exp(E))))/(-log(exp(-1)*exp(exp(exp(x))/x) - log(-x + exp(E)/x)) + exp(exp(exp(x)))/(exp(x) - log(x)))) + exp(exp(x))/(-log(E - log(x)) + exp(exp(E)/x)/x)) + exp(E))
3.4,Phase 3: f(x) = 1 / (1 + exp(-x))  [sigmoid],0.000000,0.028282,14,95,10,80,CONVERGED,BUDGET EXHAUSTED,(1.0 / (1.0 + ((x / x) / ((1.0 - 1.0) + exp(x))))),E - log(-log(-log(-log(-log(E - log(-x + exp(E))) + exp(E)/(-x + exp(exp(E)/x)/x)) + exp(exp(E)/(-log(-x + exp(exp(x))/x) + exp(-x)*exp(exp(exp(x))/x)))/(-log(-log(exp(exp(x)) - 1) + exp(exp(exp(x)))/(exp(x) - log(x))) + exp(exp(-x)*exp(exp(E)/x))/(exp(exp(x)) - log(x)))) + exp(exp(E)/(E - log(x)))/(exp(x) - log(-x + exp(exp(x))/(-x + exp(x))))) + exp(E))
3.5,Phase 3: f(x) = x^3 - 2x^2 + x  [EML stress: integer powers],0.000000,FAIL,35,,0,100,CONVERGED,TIMEOUT,(((((x - ((x / x) * (((x * 1.0) / (1.0 + x)) * ((1.0 + x) / (1.0 * x))))) * ((x - x) - (1.0 - x))) * 1.0) * x) / 1.0),TIMEOUT
