Test ID,Test Case,Std Error,EML Error,Std Nodes,EML Nodes,Std Gens,EML Gens,Std Status,EML Status,Std Formula,EML Formula
1.1,Phase 1: f(x) = exp(x),0.000000,0.000000,18,3,0,0,CONVERGED,CONVERGED,(x + ((exp(x) - 1.0) - (log(exp((exp(1.0) / log(1.0)))) * (x - 1.0)))),exp(x)
1.2,Phase 1: f(x) = ln(x),0.000000,0.000007,11,31,0,170,CONVERGED,BUDGET EXHAUSTED,log(((x * (exp(1.0) / (x - x))) * 1.0)),exp(x) - log((-x*log(E - log((-(exp(x) - log(x))*log(exp(x) - log((-(x - E)*log(exp(exp(x)) - 1) - exp(exp(x)))/(x - E))) + exp(E))/(exp(x) - log(x)))) + exp(exp(x)))/x)
1.3,"Phase 1: f(x1, x2) = x1 + x2",0.000000,2.274079,7,81,0,450,CONVERGED,BUDGET EXHAUSTED,((1.0 * x1) + (x2 * 1.0)),-log(E - log(-log(-log(-log(-log(-1 + E) + exp(exp(x1))/(-x1 + exp(exp(x1)))) + exp(exp(exp(x1))/(-x1 + exp(E)/x2))/(exp(-1)*exp(exp(exp(x1))) - 1)) + exp(E)/(-log(-log(-x2 + exp(x2)) + exp(E)) + exp(exp(exp(x1)))/x1)) + exp(E)/(E - log(x1)))) + exp(E)/(-log(E - log(-x1 + exp(-1)*exp(E))) + exp(E)/x2)
1.4,Phase 1: f(x) = exp(x) * exp(-x^2)  [EML home territory],0.000000,FAIL,8,,0,500,CONVERGED,TIMEOUT,exp(((1.0 * x) - (x * x))),TIMEOUT
2.1,Phase 2: f(x) = sin(x) + cos(x),0.000179,FAIL,11,,90,500,BUDGET EXHAUSTED,TIMEOUT,(sin((1.0 * x)) + (cos(x) + cos(tan(1.0)))),TIMEOUT
3.1,Phase 3: f(x) = sinh(x),0.000000,1.990316,2,53,0,370,CONVERGED,BUDGET EXHAUSTED,sinh(x),E - log(-log(exp(x) - log(-log(E - log(-log(-log(-log(exp(x) - log(x)) + exp(E)/x) + exp(exp(x))/x) + exp(E))) + exp(exp(x))/(exp(-E)*exp(exp(E)/x) - log(-log(E - log(E - log(x))) + exp(exp(E)/x)/(exp(x) - log(x)))))) + exp(E)*exp(-x))
3.2,Phase 3: f(x) = arctan(x),0.000000,FAIL,4,,0,500,CONVERGED,TIMEOUT,atan((x / 1.0)),TIMEOUT
3.3,Phase 3: f(x) = x^x,0.000000,1.853834,14,57,10,440,CONVERGED,BUDGET EXHAUSTED,((exp((x * log(x))) - sqrt(sqrt(log(sqrt(1.0))))) - log(1.0)),exp(x) - log(-log(E - log(-log(-log(E - log(-log(exp(exp(x)) - log(E - log(x))) + exp(E))) + exp(exp(x))/(-log(x) + exp(exp(E)/x)/(exp(x) - log(x)))) + exp(E))) + exp(exp(x))/(-log(E - log(-log(x) + exp(E))) + exp(exp(x))/(-log(exp(x) - log(E - log(exp(x) - log(x)))) + exp(E)/x)))
3.4,Phase 3: f(x) = 1 / (1 + exp(-x))  [sigmoid],0.003013,0.037568,57,53,30,390,BUDGET EXHAUSTED,BUDGET EXHAUSTED,((((exp(((log(1.0) / exp(1.0)) + exp((x * 1.0)))) / log(x)) - (((x + x) + (x + x)) - 1.0)) / log((((x - x) * log(1.0)) / ((x - x) / ((log(x) / x) - (log(x) + log(x))))))) / exp(exp((log(log((1.0 + 1.0))) - x)))),E - log(-log(-log(exp(exp(E)/(-log(-x + exp(E)/x) + exp(-x)*exp(exp(exp(x))/x)))/(-exp(x) - log(1/(E - log(x))) + exp(exp(E)/(E - log(x)))/(-x + exp(x)))) + exp(exp(E)/(E - log(x)))/x) + exp(E))
3.5,Phase 3: f(x) = x^3 - 2x^2 + x  [EML stress: integer powers],0.000000,FAIL,51,,0,500,CONVERGED,TIMEOUT,(((((1.0 * 1.0) * (1.0 - x)) * (((x + 1.0) + (x - x)) - (x + (1.0 + x)))) * (x * 1.0)) + ((x - (((1.0 * 1.0) / (1.0 / x)) + (((x * x) + x) / (x / (1.0 * x))))) + (x + x))),TIMEOUT
4.1,Phase 4: f(x) = exp(sin(x)) + ln(x^2 + 1),0.004316,0.261644,61,43,410,180,BUDGET EXHAUSTED,BUDGET EXHAUSTED,log((((cos((sin(((x + 1.0) + sin(x))) / ((sin(x) - cos(x)) - ((x + 1.0) * x)))) / exp(x)) - (exp((sin(exp(sin(x))) - sin(sin(1.0)))) / exp(((x * cos(x)) - cos(1.0))))) + exp((exp(cos(sin(cos(1.0)))) + (x - cos((tan(sin(x)) / sin(tan(1.0))))))))),E - log(E - log(-log(-log(exp(x) - log(exp(exp(x)) - log(E - log(-log(E - log(x)) + exp(E)/x)))) + exp(exp(E))/(-x + exp(exp(exp(x))/(exp(x) - log(x)))/(E - log(exp(x) - log(x))))) + exp(E)))
4.2,"Phase 4: f(x1, x2) = sin(x1*exp(x2)) - cos(ln(x1^2+x2^2+0.1))",0.391111,0.318912,24,53,80,480,BUDGET EXHAUSTED,BUDGET EXHAUSTED,cos(exp(exp(((cos(sin(((x2 * x2) / log(x2)))) * exp((sin(exp(1.0)) + x1))) * log(cos(sin(cos(1.0)))))))),E - log(-log(exp(exp(E)/(-log(-log(x2) + exp(exp(exp(x1)))/(E - log(x1))) + exp(-x2)*exp(exp(exp(x2))/x1)))/(-log(E - log(-log(E - log(x1)) + exp(E)/x1)) + exp(exp(E))/(-log(exp(x1) - log(x2)) + exp(exp(exp(x1))/x1)/(exp(x1) - log(x2))))) + exp(E))
